job_name,status,duration,retry_count,last_run
customer_import,success,42,0,2025-02-11 02:00:00
customer_import,success,39,0,2025-02-12 02:00:00
customer_import,failed,12,2,2025-02-13 02:00:00
customer_import,success,45,1,2025-02-14 02:00:00
campaign_cleanup,success,18,0,2025-02-11 03:00:00
campaign_cleanup,success,20,0,2025-02-12 03:00:00
campaign_cleanup,success,19,0,2025-02-13 03:00:00
campaign_cleanup,failed,5,3,2025-02-14 03:00:00
analytics_refresh,success,210,0,2025-02-11 04:00:00
analytics_refresh,failed,87,2,2025-02-12 04:00:00
analytics_refresh,success,198,1,2025-02-13 04:00:00
analytics_refresh,success,205,0,2025-02-14 04:00:00
nightly_backup,success,300,0,2025-02-11 01:00:00
nightly_backup,success,295,0,2025-02-12 01:00:00
nightly_backup,success,310,0,2025-02-13 01:00:00
nightly_backup,running,0,0,2025-02-14 01:00:00
